,第1筆,第2筆,第3筆,第4筆,第5筆,第6筆,第7筆,第8筆,第9筆,第10筆,第11筆,第12筆,第13筆
管理編號,J092080008,J092080007,J092080006,J092080005,J092080004,J092080003,J257080001,J014080002,J092070005,J092070004,J092070003,J092070002,J092070001
拍賣日期,108.08.01,108.08.01,108.08.01,108.07.11,108.07.11,108.07.11,108.07.03,108.06.06,107.07.16,107.07.12,107.06.21,107.06.14,107.05.24
門牌,屏東縣潮州鎮東華路3號,屏東縣潮州鎮東華路1號,屏東縣潮州鎮自強路42之1號,屏東縣潮州鎮東華路3號,屏東縣潮洲鎮東華路1號,屏東縣潮州鎮自強路42之1號,花蓮市中山路1段203巷16號,嘉義縣朴子市應菜埔86之1號,屏東縣潮州鎮東華路1及3號,屏東縣潮州鎮東華路1及3號,屏東縣潮州鎮東華路1及3號,屏東縣潮州鎮東華路1及3號,屏東縣潮州鎮東華路1及3號
用途,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅,透天住宅
樓層別,3,3,1,3,3,1,1~4樓,3,1至3樓,1至3樓,1至3樓,1至3樓,1至3樓
建坪,45.26,44.72,14.14,45.26,44.72,14.14,80.25,79.90,91.55,91.55,91.55,91.55,91.55
地坪,21.80,25.25,66.10,21.80,25.25,66.10,40.17,28.13,47.05,47.05,47.05,47.05,47.05
拍賣總價,"2,727,000","2,912,000","6,344,000","3,408,000","3,640,000","7,928,000","15,360,000","4,821,000","5,639,000","5,639,000","7,048,000","8,810,000","8,810,000"
執行法院,屏東地院,屏東地院,屏東地院,屏東地院,屏東地院,屏東地院,花蓮地院,嘉義地方法院,屏東地院,屏東地院,屏東地院,屏東地院,屏東地院
案號,屏院進民執己字第108司執助218號,屏院進民執己字第108司執助218號,屏院進民執己字第108司執助218號,屏院進民執己字第108司執助218號,屏院進民執己字第108司執助218號,屏院進民執己字第108司執助218號,花院嶽107司執信字第18782號,107司執字第37663號,106年度司執助字第700號,106年度司執助字第700號,106年度司執助字第700號,106年度司執助字第700號,106年度司執助字第700號
拍賣次數,2,2,2,1,1,1,2,1,特別,3,2,2,1
備註,特別推薦,特別推薦,特別推薦,特別推薦,特別推薦,特別推薦,特別推薦可點交,特別推薦可點交,特別推薦,特別推薦,特別推薦,特別推薦,特別推薦
